"number","station_name","lat","lng","bike_stands","average_bike_stands","average_bikes"
312,"00312 - BASE DE LOISIRS SESQUIERES",43.651836,1.419854,13,1.01918465227818,11.9712230215827
313,"00313 - RUE DE FENOUILLET - VERNE",43.628271,1.425653,13,4.45643485211831,8.50119904076739
314,"00314 - EGLISE DE LALANDE",43.646547,1.431152,13,5.88649080735412,7.1119104716227
315,"000315 - FRONTON - LAPIN",43.651176,1.432557,13,6.24300559552358,6.65387689848122
316,"00316 - FRONTON - HAON",43.656202,1.432254,13,3.75059952038369,8.47002398081535
317,"00317 - GAUSSEN - CROIX-BÉNITE",43.662024,1.434622,13,3.05275779376499,9.19424460431655
319,"00319 - ROUTE DE LAUNAGUET - DELBO",43.651318,1.438377,13,4.89608313349321,6.98641087130296
320,"00320 PARC DE LA VIOLETTE",43.654363,1.438131,13,5.42605915267786,6.54836131095124
321,"00321 - NÉGRENEYS - ANGES",43.620308,1.440963,13,7.15347721822542,5.43485211830536
323,"00323 - RAYNAL - ALLIER",43.631641,1.454852,13,4.20943245403677,6.47561950439648
324,"00324 - ROSTAND - DURAND",43.642299,1.4496236,13,7.42525979216627,3.55955235811351
325,"000325 - PLACE ROGER LOUPIAC",43.648121,1.450024,13,4.57234212629896,7.34612310151878
326,"00326 - EBELOT - PUJIBET",43.638044,1.457716,13,8.13669064748201,4.46362909672262
327,"00327 - ROSTAND - EIDENBENZ",43.644197,1.463566,13,5.37729816147082,7.224620303757
328,"00328 - NICOL - VASSEUR",43.633437,1.469891,13,5.00639488409273,7.16227018385292
329,"00329 - ATLANTA - CAUNES",43.64046,1.469314,13,6.1207034372502,6.7498001598721
330,"00330 - LAPUJADE - BARTOLI",43.622099,1.453553,13,5.27817745803357,7.15987210231815
331,"00331 - LAVAUR - DALOU",43.622578,1.462668,13,8.92645883293365,3.63149480415667
332,"00332 - PLACE ROSINE BET",43.623677,1.467356,13,8.65707434052758,2.19984012789768
333,"00333 - CHEMIN DE TOURNEFEUILLE - LESBRE",43.597281,1.369665,13,4.11910471622702,8.74340527577938
334,"00334  - GLOIRE - SAINT BERNARD",43.605557,1.458483,13,7.9056754596323,4.39888089528377
335,"00335 - COLONNE - REILLE",43.609218,1.459543,13,6.81534772182254,3.06554756195044
336,"00336 - COLONNE - SALONIQUE",43.610556,1.464953,13,8.85451638689049,3.60511590727418
337,"00337 -CHIRAC - HEREDIA",43.612555,1.467544,13,7.31574740207834,4.51159072741807
339,"00339 -  GLOIRE - SAVIGNAC",43.605899,1.463601,13,7.85691446842526,4.81774580335731
341,"00341 - SOUPETARD - GENÊTS",43.610183,1.472401,13,8.91606714628297,3.69704236610711
342,"00342 - GLOIRE - CHIRAC",43.606975,1.473375,13,5.70263788968825,6.70343725019984
343,"00343 CHAUBET - CHIRAC",43.604681,1.474453,13,8.22621902478018,4.37170263788969
344,"00344 - RIEUX - VAISSE",43.596256,1.462071,13,5.82813749000799,3.43405275779376
345,"00345 - CASTRES - LASBORDES",43.594671,1.488444,13,6.52997601918465,6.36610711430855
346,"00346 - CITE DE L'ESPACE",43.586894,1.492386,13,7.09752198241407,5.67386091127098
347,"00347 - REVEL - ARMENTIÈRES",43.573815,1.491081,13,6.89928057553957,5.33413269384492
348,"00348 - REVEL - LABEGE",43.570862,1.49832,13,3.60591526778577,6.4740207833733
349,"00349 - REVEL - NOUADHIBOU",43.567084,1.506071,13,4.65227817745803,8.28936850519584
350,"00350 - PISTE DES GÉANTS - TERECHKOVA",43.576029,1.473627,13,3.55715427657874,5.29256594724221
351,"00351 - L'ENVOL DES PIONNIERS",43.574602,1.476596,13,3.93844924060751,7.00959232613909
352,"00352 - MONTAUDRAN GARE",43.573248,1.48022,13,4.29896083133493,6.96882494004796
353,"00353 - RODIER - PRANVILLE-NÉGRIN",43.569898,1.485423,13,4.84892086330935,6.36930455635492
354,"00354 - DAURAT - CORNEMONT",43.56481,1.488996,13,6.76179056754596,5.45323741007194
357,"00357 - BELIN - TARFAYA",43.562329,1.48431,13,5.34772182254197,7.60271782573941
358,"00358 - SALADE PONSAN - COTEAUX",43.567744,1.451907,13,6.14148681055156,5.90407673860911
359,"00359 - SALADE PONSAN - SAHUQUE",43.563636,1.45531,13,7.92805755395683,4.22621902478018
360,"00360 - SALADE PONSAN - VALLON",43.560168,1.457394,13,9.38049560351719,3.43804956035172
361,"00361 - POUVOURVILLE - BOURDETTE",43.5552,1.457169,13,5.41966426858513,6.5947242206235
362,"00362 - POUVOURVILLE - GOSCINNY",43.550243,1.457515,13,7.61710631494804,4.9744204636291
364,"00364 - ESPAGNE - GIRONIS",43.563741,1.425433,13,8.66826538768985,3.6554756195044
366,"00366 - ONCOPOLE TÉLÉO",43.554843,1.428013,13,4.90407673860911,7.03597122302158
367,"00367 - PARC DE GIRONIS",43.564067,1.413739,13,5.11830535571543,6.53956834532374
368,"00368 - ROUTE DE SEYSSES - BELLEFONTAINE",43.562792,1.406829,13,7.5171862509992,5.36051159072742
369,"00369 - ROUTE DE SEYSSES - RÉGIS",43.548387,1.390449,13,4.79456434852118,7.74900079936051
370,"00370 - PLACE DES TIBAOUS",43.550424,1.386158,13,2.94324540367706,6.86730615507594
371,"00371 - REYNERIE - LONDRES",43.569148,1.408256,13,5.25259792166267,6.09752198241407
372,"00372 - REYNERIE MÉTRO",43.571497,1.402857,13,3.61710631494804,7.37250199840128
373,"00373 - REYNERIE - LIZOP",43.566932,1.400526,13,3.99840127897682,6.65627498001599
374,"00374 - BELLEFONTAINE MÉTRO",43.56502,1.398906,13,5.70823341326938,7.17426059152678
375,"00375 - LESTAND - PERGAUD",43.564715,1.395886,13,6.40447641886491,6.48441247002398
376,"00376 - EISENHOWER - LESTANG",43.5599624,1.3944267,13,4.91207034372502,7.80895283772982
377,"00377 - MONLONG - LOUP",43.554796,1.387295,13,2.74820143884892,9.73541167066347
378,"00378 - BASSO CAMBO METRO",43.569972,1.391809,13,8.5003996802558,3.40287769784173
379,"00379 - MAFFRE - BASSO CAMBO",43.561453,1.384967,13,5.76578737010392,7.189448441247
381,"00381 - LIFFARD - REGUELONGUE",43.55978,1.37828,13,3.46762589928058,9.43485211830536
382,"00382 - LIFFARD - SAINT SIMON",43.564413,1.375571,13,2.76179056754596,9.41646682653877
383,"00383 - PARC DE LA MOUNEDE",43.572131,1.38317,13,6.52517985611511,5.22142286171063
384,"00384 GUILHERMY - LAS BRUGUES",43.567628,1.371151,13,3.23741007194245,9.45243804956035
385,"00385 - VITARELLES - FRONDE",43.587323,1.39462,13,7.83133493205436,4.93605115907274
386,"00386 - BORDEBLANCHE - BROUSSIN",43.582717,1.386115,13,5.28936850519584,7.54676258992806
387,"00387 - CORIOLIS - DUPOUY",43.578809,1.379975,13,5.25339728217426,7.33253397282174
388,"00388 - LARDENNE - CALQUET",43.5937364,1.3911254,13,7.17346123101519,5.32374100719424
389,"00389 - EGLISE - LARDENNE",43.591193,1.384961,13,10.6978417266187,2.05035971223022
390,"00390 - CAPELLES - ECOLE VETERINAIRE",43.601523,1.384712,13,8.56754596322942,3.80975219824141
391,"00391 - LARDENNE GARE",43.597343,1.383108,13,6.39248601119105,6.32613908872902
394,"00394 - BAYONNE - FLAMBERE",43.608267,1.389792,13,7.04876099120703,3.69944044764189
395,"00395 - BAYONNE - SENTENAC",43.608999,1.379956,13,9.23820943245404,3.3021582733813
396,"00396 - FOURNIER - JARDINERIE",43.606486,1.36915,13,8.94324540367706,3.53157474020783
397,"00397 - NÉGO SAOUMOS - ZIEGLER",43.605637,1.364053,13,10.0647482014388,2.81454836131095
398,"00398 - MARTRE - CAULET",43.606204,1.355664,13,7.12150279776179,5.32214228617106
399,"00399 - CHEMIN DE TOURNEFEUILLE - BOURIETTE",43.605078,1.376499,13,5.32853717026379,7.33493205435652
400,"00400 - SAINT-MARTIN-DU-TOUCH GARE",43.600614,1.372218,13,7.14708233413269,5.5515587529976
1031,"1031 - BORNE CGB ATELIER",43.6159088,1.0001755,42,36.951239008793,4.4308553157474
1032,"1032 -  BORNE CGB ATELIER 2",43.6159088,1.0001755,21,9.25419664268585,9.87769784172662
